ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
739,2010,2010-06-21,Group stage,Chile,1,0,Switzerland,,FALSE
740,2010,2010-06-21,Group stage,Spain,2,0,Honduras,,FALSE
741,2010,2010-06-22,Group stage,Mexico,0,1,Uruguay,,FALSE
742,2010,2010-06-22,Group stage,South Africa,2,1,France,,TRUE
743,2010,2010-06-22,Group stage,Nigeria,2,2,South Korea,,FALSE
744,2010,2010-06-22,Group stage,Greece,0,2,Argentina,,FALSE
745,2010,2010-06-23,Group stage,Slovenia,0,1,England,,FALSE
746,2010,2010-06-23,Group stage,United States,1,0,Algeria,,FALSE
747,2010,2010-06-23,Group stage,Ghana,0,1,Germany,,FALSE
748,2010,2010-06-23,Group stage,Australia,2,1,Serbia,,FALSE
749,2010,2010-06-24,Group stage,Slovakia,3,2,Italy,,FALSE
750,2010,2010-06-24,Group stage,Paraguay,0,0,New Zealand,,FALSE
751,2010,2010-06-24,Group stage,Denmark,1,3,Japan,,FALSE
752,2010,2010-06-24,Group stage,Cameroon,1,2,Netherlands,,FALSE
753,2010,2010-06-25,Group stage,Portugal,0,0,Brazil,,FALSE
754,2010,2010-06-25,Group stage,North Korea,0,3,Ivory Coast,,FALSE
755,2010,2010-06-25,Group stage,Chile,1,2,Spain,,FALSE
756,2010,2010-06-25,Group stage,Switzerland,0,0,Honduras,,FALSE
757,2010,2010-06-26,Round of 16,Uruguay,2,1,South Korea,,FALSE
758,2010,2010-06-26,Round of 16,United States,1,2,Ghana,Extra time,FALSE
759,2010,2010-06-27,Round of 16,Germany,4,1,England,,FALSE
760,2010,2010-06-27,Round of 16,Argentina,3,1,Mexico,,FALSE
761,2010,2010-06-28,Round of 16,Netherlands,2,1,Slovakia,,FALSE
762,2010,2010-06-28,Round of 16,Brazil,3,0,Chile,,FALSE
763,2010,2010-06-29,Round of 16,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3),FALSE
764,2010,2010-06-29,Round of 16,Spain,1,0,Portugal,,FALSE
765,2010,2010-07-02,Quarter-finals,Netherlands,2,1,Brazil,,FALSE
766,2010,2010-07-02,Quarter-finals,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2),FALSE
767,2010,2010-07-03,Quarter-finals,Argentina,0,4,Germany,,FALSE
768,2010,2010-07-03,Quarter-finals,Paraguay,0,1,Spain,,FALSE
769,2010,2010-07-06,Semi-finals,Uruguay,2,3,Netherlands,,FALSE
770,2010,2010-07-07,Semi-finals,Germany,0,1,Spain,,FALSE
771,2010,2010-07-10,Third place,Uruguay,2,3,Germany,,FALSE
772,2010,2010-07-11,Final,Netherlands,0,1,Spain,Extra time,FALSE
773,2014,2014-06-12,Group stage,Brazil,3,1,Croatia,,TRUE
774,2014,2014-06-13,Group stage,Mexico,1,0,Cameroon,,FALSE
775,2014,2014-06-13,Group stage,Spain,1,5,Netherlands,,FALSE
776,2014,2014-06-13,Group stage,Chile,3,1,Australia,,FALSE
777,2014,2014-06-14,Group stage,Colombia,3,0,Greece,,FALSE
778,2014,2014-06-14,Group stage,Uruguay,1,3,Costa Rica,,FALSE
779,2014,2014-06-14,Group stage,England,1,2,Italy,,FALSE
780,2014,2014-06-14,Group stage,Ivory Coast,2,1,Japan,,FALSE
781,2014,2014-06-15,Group stage,Switzerland,2,1,Ecuador,,FALSE
782,2014,2014-06-15,Group stage,France,3,0,Honduras,,FALSE
783,2014,2014-06-15,Group stage,Argentina,2,1,Bosnia and Herzegovina,,FALSE
784,2014,2014-06-16,Group stage,Germany,4,0,Portugal,,FALSE
785,2014,2014-06-16,Group stage,Iran,0,0,Nigeria,,FALSE
786,2014,2014-06-16,Group stage,Ghana,1,2,United States,,FALSE
787,2014,2014-06-17,Group stage,Belgium,2,1,Algeria,,FALSE
788,2014,2014-06-17,Group stage,Brazil,0,0,Mexico,,TRUE
789,2014,2014-06-17,Group stage,Russia,1,1,South Korea,,FALSE
790,2014,2014-06-18,Group stage,Australia,2,3,Netherlands,,FALSE
791,2014,2014-06-18,Group stage,Spain,0,2,Chile,,FALSE
792,2014,2014-06-18,Group stage,Cameroon,0,4,Croatia,,FALSE
793,2014,2014-06-19,Group stage,Colombia,2,1,Ivory Coast,,FALSE
794,2014,2014-06-19,Group stage,Uruguay,2,1,England,,FALSE
795,2014,2014-06-19,Group stage,Japan,0,0,Greece,,FALSE
796,2014,2014-06-20,Group stage,Italy,0,1,Costa Rica,,FALSE
797,2014,2014-06-20,Group stage,Switzerland,2,5,France,,FALSE
798,2014,2014-06-20,Group stage,Honduras,1,2,Ecuador,,FALSE
799,2014,2014-06-21,Group stage,Argentina,1,0,Iran,,FALSE
800,2014,2014-06-21,Group stage,Germany,2,2,Ghana,,FALSE
801,2014,2014-06-21,Group stage,Nigeria,1,0,Bosnia and Herzegovina,,FALSE
802,2014,2014-06-22,Group stage,Belgium,1,0,Russia,,FALSE
803,2014,2014-06-22,Group stage,South Korea,2,4,Algeria,,FALSE
804,2014,2014-06-22,Group stage,United States,2,2,Portugal,,FALSE
805,2014,2014-06-23,Group stage,Australia,0,3,Spain,,FALSE
806,2014,2014-06-23,Group stage,Netherlands,2,0,Chile,,FALSE
807,2014,2014-06-23,Group stage,Brazil,4,1,Cameroon,,TRUE
808,2014,2014-06-23,Group stage,Croatia,1,3,Mexico,,FALSE
809,2014,2014-06-24,Group stage,Italy,0,1,Uruguay,,FALSE
810,2014,2014-06-24,Group stage,Costa Rica,0,0,England,,FALSE
811,2014,2014-06-24,Group stage,Japan,1,4,Colombia,,FALSE
812,2014,2014-06-24,Group stage,Greece,2,1,Ivory Coast,,FALSE
813,2014,2014-06-25,Group stage,Nigeria,2,3,Argentina,,FALSE
814,2014,2014-06-25,Group stage,Bosnia and Herzegovina,3,1,Iran,,FALSE
815,2014,2014-06-25,Group stage,Honduras,0,3,Switzerland,,FALSE
816,2014,2014-06-25,Group stage,Ecuador,0,0,France,,FALSE
817,2014,2014-06-26,Group stage,United States,0,1,Germany,,FALSE
818,2014,2014-06-26,Group stage,Portugal,2,1,Ghana,,FALSE
819,2014,2014-06-26,Group stage,South Korea,0,1,Belgium,,FALSE
820,2014,2014-06-26,Group stage,Algeria,1,1,Russia,,FALSE
821,2014,2014-06-28,Round of 16,Brazil,1,1,Chile,Brazil win on penalties (3 - 2),TRUE
822,2014,2014-06-28,Round of 16,Colombia,2,0,Uruguay,,FALSE
823,2014,2014-06-29,Round of 16,Netherlands,2,1,Mexico,,FALSE
824,2014,2014-06-29,Round of 16,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3),FALSE
825,2014,2014-06-30,Round of 16,France,2,0,Nigeria,,FALSE
826,2014,2014-06-30,Round of 16,Germany,2,1,Algeria,Extra time,FALSE
827,2014,2014-07-01,Round of 16,Argentina,1,0,Switzerland,Extra time,FALSE
828,2014,2014-07-01,Round of 16,Belgium,2,1,United States,Extra time,FALSE
829,2014,2014-07-04,Quarter-finals,France,0,1,Germany,,FALSE
830,2014,2014-07-04,Quarter-finals,Brazil,2,1,Colombia,,TRUE
831,2014,2014-07-05,Quarter-finals,Argentina,1,0,Belgium,,FALSE
832,2014,2014-07-05,Quarter-finals,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3),FALSE
833,2014,2014-07-08,Semi-finals,Brazil,1,7,Germany,,TRUE
834,2014,2014-07-09,Semi-finals,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4),FALSE
835,2014,2014-07-12,Third place,Brazil,0,3,Netherlands,,TRUE
836,2014,2014-07-13,Final,Germany,1,0,Argentina,Extra time,FALSE
837,2018,2018-06-14,Group stage,Russia,5,0,Saudi Arabia,,TRUE
838,2018,2018-06-15,Group stage,Egypt,0,1,Uruguay,,FALSE
839,2018,2018-06-15,Group stage,Morocco,0,1,Iran,,FALSE
840,2018,2018-06-15,Group stage,Portugal,3,3,Spain,,FALSE
841,2018,2018-06-16,Group stage,France,2,1,Australia,,FALSE
842,2018,2018-06-16,Group stage,Argentina,1,1,Iceland,,FALSE
843,2018,2018-06-16,Group stage,Peru,0,1,Denmark,,FALSE
844,2018,2018-06-16,Group stage,Croatia,2,0,Nigeria,,FALSE
845,2018,2018-06-17,Group stage,Costa Rica,0,1,Serbia,,FALSE
846,2018,2018-06-17,Group stage,Germany,0,1,Mexico,,FALSE
847,2018,2018-06-17,Group stage,Brazil,1,1,Switzerland,,FALSE
848,2018,2018-06-18,Group stage,Sweden,1,0,South Korea,,FALSE
849,2018,2018-06-18,Group stage,Belgium,3,0,Panama,,FALSE
850,2018,2018-06-18,Group stage,Tunisia,1,2,England,,FALSE
851,2018,2018-06-19,Group stage,Colombia,1,2,Japan,,FALSE
852,2018,2018-06-19,Group stage,Poland,1,2,Senegal,,FALSE
853,2018,2018-06-19,Group stage,Russia,3,1,Egypt,,TRUE
854,2018,2018-06-20,Group stage,Portugal,1,0,Morocco,,FALSE
855,2018,2018-06-20,Group stage,Uruguay,1,0,Saudi Arabia,,FALSE
856,2018,2018-06-20,Group stage,Iran,0,1,Spain,,FALSE
857,2018,2018-06-21,Group stage,Denmark,1,1,Australia,,FALSE
858,2018,2018-06-21,Group stage,France,1,0,Peru,,FALSE
859,2018,2018-06-21,Group stage,Argentina,0,3,Croatia,,FALSE
860,2018,2018-06-22,Group stage,Brazil,2,0,Costa Rica,,FALSE
861,2018,2018-06-22,Group stage,Nigeria,2,0,Iceland,,FALSE
862,2018,2018-06-22,Group stage,Serbia,1,2,Switzerland,,FALSE
863,2018,2018-06-23,Group stage,Belgium,5,2,Tunisia,,FALSE
864,2018,2018-06-23,Group stage,South Korea,1,2,Mexico,,FALSE
865,2018,2018-06-23,Group stage,Germany,2,1,Sweden,,FALSE
866,2018,2018-06-24,Group stage,England,6,1,Panama,,FALSE
867,2018,2018-06-24,Group stage,Japan,2,2,Senegal,,FALSE
868,2018,2018-06-24,Group stage,Poland,0,3,Colombia,,FALSE
869,2018,2018-06-25,Group stage,Russia,0,3,Uruguay,,TRUE
870,2018,2018-06-25,Group stage,Saudi Arabia,2,1,Egypt,,FALSE
871,2018,2018-06-25,Group stage,Spain,2,2,Morocco,,FALSE
872,2018,2018-06-25,Group stage,Iran,1,1,Portugal,,FALSE
873,2018,2018-06-26,Group stage,Australia,0,2,Peru,,FALSE
874,2018,2018-06-26,Group stage,Denmark,0,0,France,,FALSE
875,2018,2018-06-26,Group stage,Nigeria,1,2,Argentina,,FALSE
876,2018,2018-06-26,Group stage,Iceland,1,2,Croatia,,FALSE
877,2018,2018-06-27,Group stage,South Korea,2,0,Germany,,FALSE
878,2018,2018-06-27,Group stage,Mexico,0,3,Sweden,,FALSE
879,2018,2018-06-27,Group stage,Serbia,0,2,Brazil,,FALSE
880,2018,2018-06-27,Group stage,Switzerland,2,2,Costa Rica,,FALSE
881,2018,2018-06-28,Group stage,Japan,0,1,Poland,,FALSE
882,2018,2018-06-28,Group stage,Senegal,0,1,Colombia,,FALSE
883,2018,2018-06-28,Group stage,Panama,1,2,Tunisia,,FALSE
884,2018,2018-06-28,Group stage,England,0,1,Belgium,,FALSE
885,2018,2018-06-30,Round of 16,France,4,3,Argentina,,FALSE
886,2018,2018-06-30,Round of 16,Uruguay,2,1,Portugal,,FALSE
887,2018,2018-07-01,Round of 16,Russia,1,1,Spain,Russia win on penalties (4 - 3),TRUE
888,2018,2018-07-01,Round of 16,Croatia,1,1,Denmark,Croatia win on penalties (3 - 2),FALSE
889,2018,2018-07-02,Round of 16,Brazil,2,0,Mexico,,FALSE
890,2018,2018-07-02,Round of 16,Belgium,3,2,Japan,,FALSE
891,2018,2018-07-03,Round of 16,Sweden,1,0,Switzerland,,FALSE
892,2018,2018-07-03,Round of 16,Colombia,1,1,England,England win on penalties (3 - 4),FALSE
893,2018,2018-07-06,Quarter-finals,Uruguay,0,2,France,,FALSE
894,2018,2018-07-06,Quarter-finals,Brazil,1,2,Belgium,,FALSE
895,2018,2018-07-07,Quarter-finals,Sweden,0,2,England,,FALSE
896,2018,2018-07-07,Quarter-finals,Russia,2,2,Croatia,Croatia win on penalties (3 - 4),TRUE
897,2018,2018-07-10,Semi-finals,France,1,0,Belgium,,FALSE
898,2018,2018-07-11,Semi-finals,Croatia,2,1,England,Extra time,FALSE
899,2018,2018-07-14,Third place,Belgium,2,0,England,,FALSE
900,2018,2018-07-15,Final,France,4,2,Croatia,,FALSE
